ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
-1.0,2.0,5.0,30.0,10.0,0.5889891684055328,-0.23712913023548834
-1.0,2.0,10.0,1.0,3.0,0.5694249020889401,-0.0001907251431753964
-1.0,2.0,10.0,1.0,10.0,0.5722923003137111,-0.0008010240318176764
-1.0,2.0,10.0,3.0,3.0,0.5607168717309833,0.0010047313783874852
-1.0,2.0,10.0,3.0,10.0,0.562888827174902,6.26640109663861e-05
-1.0,2.0,10.0,10.0,3.0,0.5388172391802073,-0.011924380839356692
-1.0,2.0,10.0,10.0,10.0,0.5460112076252699,-0.016236779195276975
-1.0,2.0,10.0,30.0,3.0,0.49313633479177954,-0.08089372054679603
-1.0,2.0,10.0,30.0,10.0,0.4942886184900999,-0.07571005575871895
-1.0,4.0,2.0,1.0,3.0,0.7765496522188187,-0.175979960790035
-1.0,4.0,2.0,1.0,10.0,0.7761230614036322,-0.17834482095810164
-1.0,4.0,2.0,3.0,3.0,0.7765727080404758,-0.1757181788768709
-1.0,4.0,2.0,3.0,10.0,0.7761457320302725,-0.17823707575082484
-1.0,4.0,2.0,10.0,3.0,0.7626129977405072,-0.09953646187540811
-1.0,4.0,2.0,10.0,10.0,0.7611201539635658,-0.37096674640184935
-1.0,4.0,2.0,30.0,3.0,0.6621005348861217,-0.07606059941359532
-1.0,4.0,2.0,30.0,10.0,0.6526062656193972,-0.05834333275389968
-1.0,4.0,5.0,1.0,3.0,0.7569166827946902,-0.24591566780807433
-1.0,4.0,5.0,1.0,10.0,0.7567227382212878,-0.229818238302914
-1.0,4.0,5.0,3.0,3.0,0.7556042354553938,-0.24228637370102743
-1.0,4.0,5.0,3.0,10.0,0.7556495759636164,-0.22740362072260092
-1.0,4.0,5.0,10.0,3.0,0.7473263729363679,-0.2759641926877277
-1.0,4.0,5.0,10.0,10.0,0.7326702993363142,-0.24285722424323933
-1.0,4.0,5.0,30.0,3.0,0.6705088259652257,-0.13090336097893623
-1.0,4.0,5.0,30.0,10.0,0.6638761300593614,-0.11301131793547212
-1.0,4.0,10.0,1.0,3.0,0.6721010724082589,-0.08421664448143928
-1.0,4.0,10.0,1.0,10.0,0.6736462570726871,-0.0797611404447226
-1.0,4.0,10.0,3.0,3.0,0.6688489595428109,-0.08290774392534195
-1.0,4.0,10.0,3.0,10.0,0.6705400388687849,-0.07891869451893242
-1.0,4.0,10.0,10.0,3.0,0.700867173448205,-0.10009776214771379
-1.0,4.0,10.0,10.0,10.0,0.6810358865186572,-0.07420284060492174
-1.0,4.0,10.0,30.0,3.0,0.6222809318453073,0.020519967286105317
-1.0,4.0,10.0,30.0,10.0,0.6261659387499094,0.028490613006480127
-1.0,8.0,2.0,1.0,3.0,0.7827587984502316,-0.05448454854129115
-1.0,8.0,2.0,1.0,10.0,0.7812878303229809,-0.13582618072174815
-1.0,8.0,2.0,3.0,3.0,0.7827610980719328,-0.054886824138811886
-1.0,8.0,2.0,3.0,10.0,0.781287943944335,-0.13589677220004412
-1.0,8.0,2.0,10.0,3.0,0.7696378484368325,0.12804747531535146
-1.0,8.0,2.0,10.0,10.0,0.7758348636329174,-0.0988180417050193
-1.0,8.0,2.0,30.0,3.0,0.6817136246711015,-0.0801816931782801
-1.0,8.0,2.0,30.0,10.0,0.7535923335701227,-0.12811922979728252
-1.0,8.0,5.0,1.0,3.0,0.7732093464583158,-0.20661884885539894
-1.0,8.0,5.0,1.0,10.0,0.7727564726024866,-0.265211105126406
-1.0,8.0,5.0,3.0,3.0,0.7728408388793468,-0.20317900134414574
-1.0,8.0,5.0,3.0,10.0,0.7725369602441787,-0.2633018005382354
-1.0,8.0,5.0,10.0,3.0,0.7359484694898129,-0.14538029082727139
-1.0,8.0,5.0,10.0,10.0,0.7456067204475403,-0.2110634450683899
-1.0,8.0,5.0,30.0,3.0,0.6763792511075735,-0.0978328779784388
-1.0,8.0,5.0,30.0,10.0,0.6920272521674633,-0.1384399007287907
-1.0,8.0,10.0,1.0,3.0,0.7322190888226032,-0.12047777311329223
-1.0,8.0,10.0,1.0,10.0,0.7332048285752535,-0.11289757311127473
-1.0,8.0,10.0,3.0,3.0,0.7296836193650961,-0.11676685107379481
-1.0,8.0,10.0,3.0,10.0,0.7310332246124744,-0.11005199972276004
