ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,16.0,5.0,3.0,10.0,1.1712120190262794,-0.09375039247875859
1.0,16.0,5.0,10.0,10.0,1.1716371804475785,-0.09529950733859967
1.0,16.0,5.0,30.0,10.0,1.1720255024731159,-0.09352883114610906
1.0,16.0,5.0,100.0,10.0,1.1721987403929233,-0.09165741884335846
1.0,16.0,10.0,1.0,10.0,1.121771875023842,-0.27915083260817247
1.0,16.0,10.0,3.0,10.0,1.1264965191483498,-0.2544376597943868
1.0,16.0,10.0,10.0,10.0,1.1334681689739228,-0.22476562702523367
1.0,16.0,10.0,30.0,10.0,1.137611836194992,-0.21725263211878207
1.0,16.0,10.0,100.0,10.0,1.1391529001295566,-0.21322280970578714
1.0,16.0,20.0,1.0,10.0,1.0135993484407664,-0.34038007444727275
1.0,16.0,20.0,3.0,10.0,1.0238935075700284,-0.333153693108326
1.0,16.0,20.0,10.0,10.0,1.0392636876553296,-0.3223981227380945
1.0,16.0,20.0,30.0,10.0,1.0481825463473797,-0.3234293288446733
1.0,16.0,20.0,100.0,10.0,1.0507377859205007,-0.32415363590406177
-1.0,1.0,2.0,1.0,10.0,0.7561755925416946,0.0035577686438416933
-1.0,1.0,2.0,3.0,10.0,0.7803099632263184,-0.2586281074817354
-1.0,1.0,2.0,10.0,10.0,0.8072722360491753,-0.4874044874805517
-1.0,1.0,2.0,30.0,10.0,0.8225771054625511,-0.186335103940686
-1.0,1.0,2.0,100.0,10.0,0.8267708539962768,-0.2755576012706936
-1.0,1.0,5.0,1.0,10.0,0.5882716204971075,-0.08659378090313263
-1.0,1.0,5.0,3.0,10.0,0.6367125622928143,0.3157382177516914
-1.0,1.0,5.0,10.0,10.0,0.682598377764225,-0.24971361279470927
-1.0,1.0,5.0,30.0,10.0,0.7080407068133354,-0.3223243506512648
-1.0,1.0,5.0,100.0,10.0,0.719110655784607,-0.23957927042998017
-1.0,1.0,10.0,1.0,10.0,0.46965879313647746,0.0480584058205221
-1.0,1.0,10.0,3.0,10.0,0.4896523952484131,-0.13316659366580347
-1.0,1.0,10.0,10.0,10.0,0.5635424867272377,-0.10722676865028219
-1.0,1.0,10.0,30.0,10.0,0.5895820528268814,-0.11890930400560601
-1.0,1.0,10.0,100.0,10.0,0.5983535058796405,-0.1211868725719095
-1.0,1.0,20.0,1.0,10.0,0.5239821575582028,0.01446836656176457
-1.0,1.0,20.0,3.0,10.0,0.5106960706412792,0.009141076374543958
-1.0,1.0,20.0,10.0,10.0,0.48893430195748805,0.0380117738554147
-1.0,1.0,20.0,30.0,10.0,0.49314633272588254,0.020042568302946498
-1.0,1.0,20.0,100.0,10.0,0.49931490123271943,0.018120615988373914
-1.0,2.0,2.0,1.0,10.0,0.8782101195305586,-0.2024255463061419
-1.0,2.0,2.0,3.0,10.0,0.8720378752797842,-0.20053325089576302
-1.0,2.0,2.0,10.0,10.0,0.8558795139193535,-0.18878098290969492
-1.0,2.0,2.0,30.0,10.0,0.8643559865653515,-0.17877951190584762
-1.0,2.0,2.0,100.0,10.0,0.8694538906216621,-0.1782031646178716
