label,held_out_loss,slope,anchor_err_deg,n_epochs,seed,hold_prob,sign_reg,anchor,max_av,ring_source,ring_sign,activation,type_params,real_sign_control,control_shuffle_seed,control_swap_fraction,control_type_mask,frac_edges_changed,recurrent_gain,tau,in_gain,cue_gain,mean_abs_sign,frac_polarized_gt_0.9
types_mask35_p,0.06895023283238212,0.852659349162261,8.696122697461668,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,35.0,0.4945414847161572,2.0,10.0,10.0,10.0,1.0,1.0
types_mask36_p,0.4829961503545443,-0.008599559711416812,3.297993759336076,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,36.0,0.43045851528384277,2.0,10.0,10.0,10.0,1.0,1.0
types_mask37_p,0.47793121201296646,0.0005555554214203178,4.826102391619071,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,37.0,0.11975982532751092,2.0,10.0,10.0,10.0,1.0,1.0
types_mask38_p,0.2850510023534298,0.38201364339383465,6.450800702560059,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,38.0,0.8218340611353712,2.0,10.0,10.0,10.0,1.0,1.0
types_mask39_p,0.05361180262019237,0.9048687064164855,7.001043595234389,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,39.0,0.5111353711790393,2.0,10.0,10.0,10.0,1.0,1.0
types_mask3_p,0.5901653058826923,-0.023484659240492773,5.525440451931283,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,3.0,0.3913755458515284,2.0,10.0,10.0,10.0,1.0,1.0
types_mask40_p,0.4735529638826847,-0.004411141353008877,3.5138828935540705,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,40.0,0.4782751091703057,2.0,10.0,10.0,10.0,1.0,1.0
types_mask41_p,0.09554622092594703,0.854294486851203,5.619825649682061,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,41.0,0.1675764192139738,2.0,10.0,10.0,10.0,1.0,1.0
types_mask42_p,0.314731398349007,0.27898845849543497,5.849110452389102,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,42.0,0.869650655021834,2.0,10.0,10.0,10.0,1.0,1.0
types_mask43_p,0.05396451974908511,0.8666485012867351,7.663361663722776,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,43.0,0.5589519650655022,2.0,10.0,10.0,10.0,1.0,1.0
